ID_PRODUCT,PRODUCT_NAME,DESCRIPTION,ID_CATEGORY,PRICE
1,Handwoven Wall Hanging,Beautiful handwoven wall hanging for home decor.,1,50
2,Handcrafted Silver Necklace,Elegant silver necklace with a unique design.,2,80
3,Leather Keychain,Handmade leather keychain with a personalized touch.,3,13
4,Canvas Tote Bag,Durable and stylish canvas tote bag for everyday use.,4,30
5,Abstract Acrylic Painting,Vibrant and abstract acrylic painting on canvas.,5,150
6,Handmade Greeting Cards,Set of handmade greeting cards for various occasions.,6,10
7,Knitted Scarf,Cozy and warm knitted scarf for the colder seasons.,7,35
8,Wooden Puzzle,Educational wooden puzzle for kids to enjoy.,8,20
9,Hand-poured Soy Candle,Delightful hand-poured soy candle with a relaxing fragrance.,9,25
10,Personalized Engraved Keychain,Engraved keychain customized with your chosen text.,10,15
11,Handmade Ceramic Mug,Unique and artistic ceramic mug for your favorite beverages.,1,25
12,Sterling Silver Earrings,Stylish sterling silver earrings with a modern design.,2,65
13,Leather Wallet,Handcrafted leather wallet with multiple compartments.,3,40
14,Recycled Paper Notebook,Eco-friendly notebook made from recycled paper.,6,8
15,Hand-knitted Beanie,Warm and cozy hand-knitted beanie for cold weather.,7,22
16,Wooden Building Blocks,Classic wooden building blocks for imaginative play.,8,30
17,Hand-painted Silk Scarf,Elegant hand-painted silk scarf with vibrant colors.,2,75
18,Scented Soy Wax Melts,Fragrant soy wax melts to create a soothing ambiance.,9,12
19,Handmade Leather Journal,Refined leather journal for jotting down your thoughts.,6,18
20,Personalized Name Bracelet,Customizable name bracelet with a personalized touch.,2,45
21,Handmade Ceramic Vase,Artistic ceramic vase to display your favorite flowers.,1,55
22,Wire-wrapped Gemstone Necklace,Unique wire-wrapped necklace with a beautiful gemstone.,2,90
23,Embroidered Patch,Colorful embroidered patch to adorn your clothing or bags.,3,8
24,Hand-painted Canvas Shoes,Custom hand-painted canvas shoes for a unique style.,7,40
25,Wooden Jigsaw Puzzle,Challenging wooden jigsaw puzzle for hours of fun.,8,28
26,Handmade Soap Set,Luxurious handmade soap set for a pampering experience.,9,30
27,Macramé Plant Hanger,Stylish macramé plant hanger to showcase your indoor plants.,1,20
28,Handcrafted Copper Bracelet,Intricate copper bracelet with a rustic charm.,2,55
29,Hand-stitched Leather Bag,Artisanal hand-stitched leather bag for everyday use.,4,85
30,Watercolor Painting Set,Complete watercolor painting set for aspiring artists.,5,60
31,Handmade Ceramic Bowls Set,Set of handcrafted ceramic bowls for serving or display.,1,45
32,Sterling Silver Ring,Elegant sterling silver ring with a minimalist design.,2,70
33,Handmade Leather Key Holder,Compact and stylish leather key holder.,3,15
34,Handmade Scented Candle,Artisanal scented candle with a soothing fragrance.,9,18
35,Hand-knitted Baby Blanket,Soft and cozy hand-knitted baby blanket for warmth.,7,32
36,Wooden Toy Car,Classic wooden toy car for little ones to play with.,8,15
37,Hand-painted Ceramic Plate,Colorful hand-painted ceramic plate for serving or display.,1,35
38,Wire-wrapped Crystal Pendant,Unique wire-wrapped pendant with a mesmerizing crystal.,2,95
39,Handmade Leather Passport Holder,Durable and stylish leather passport holder.,3,25
40,Embroidered Wall Art,Intricate embroidered wall art for a decorative touch.,5,40
41,Handmade Ceramic Teapot,Artistic ceramic teapot for a delightful tea experience.,1,60
42,Handcrafted Beaded Bracelet,Stylish beaded bracelet with a bohemian vibe.,2,35
43,Hand-stitched Leather Wallet,Exquisite hand-stitched leather wallet with a vintage look.,3,45
44,Hand-poured Beeswax Candle,Natural beeswax candle with a warm and comforting glow.,9,22
45,Hand-knitted Scarf and Hat Set,Matching scarf and hat set for cozy winter days.,7,45
46,Wooden Train Set,Classic wooden train set for endless playtime adventures.,8,50
47,Handmade Bath Bombs Set,Indulgent set of handmade bath bombs for a luxurious bath.,9,28
48,Handmade Ceramic Serving Platter,Elegant ceramic serving platter for special occasions.,1,75
49,Silver Charm Bracelet,Charming silver bracelet with a collection of unique charms.,2,50
50,Hand-stitched Leather Journal,Refined leather journal with hand-stitched details.,6,28
