id_category,name,description
1,Home Decor,Handcrafted items to beautify your home.
2,Jewelry,Unique and stylish handmade jewelry pieces.
3,Accessories,Handmade accessories to complement your outfits.
4,Bags and Purses,Handcrafted bags and purses for everyday use.
5,Artwork,Original artwork created by talented artists.
6,Stationery,Handmade stationery items for everyday use.
7,Clothing,Stylish and comfortable handmade clothing.
8,Toys and Games,Handcrafted toys and games for children.
9,Candles and Fragrances,Handmade candles and fragrances for a cozy ambiance.
10,Gifts,Thoughtful handmade gifts for special occasions.
